Time,Event,Symbol,Bid,Ask
1483394437,TICK,EURUSDi,1.04520,1.04582
1483394410,TICK,EURGBPi,0.85084,0.85166
1483135019,TICK,GBPUSDi,1.23308,1.23443
1483394419,TICK,AUDUSDi,0.71847,0.71889
1483135019,TICK,EURJPYi,123.08600,123.21800
1483394435,TICK,AUDJPYi,84.40200,84.46800
1483135019,TICK,EURAUDi,1.45918,1.46216
1483394431,TICK,USDCADi,1.34394,1.34481
1483394433,TICK,USDJPYi,117.45600,117.51800
1483394431,TICK,GBPCADi,1.64943,1.65125
1483394431,TICK,AUDCADi,0.96553,0.96631
1483135019,TICK,USDCHFi,1.01798,1.01909
1483135019,TICK,GBPAUDi,1.71080,1.71509
1483135019,TICK,XAUUSDi,1152.59000,1152.85000
1483394443,TICK,EURUSDi,1.04521,1.04583
1483394443,TICK,AUDJPYi,84.40100,84.47400
1483394442,TICK,USDJPYi,117.45600,117.51800
1483394451,TICK,EURUSDi,1.04520,1.04583
1483394449,TICK,AUDJPYi,84.40000,84.46800
1483394446,TICK,USDJPYi,117.45400,117.51800
1483394457,TICK,EURUSDi,1.04521,1.04584
1483394523,TICK,EURUSDi,1.04518,1.04574
1483394523,TICK,AUDUSDi,0.71847,0.71897
1483394523,TICK,AUDJPYi,84.39700,84.48100
1483394523,TICK,USDCADi,1.34370,1.34549
1483394523,TICK,GBPCADi,1.64930,1.65381
1483394523,TICK,AUDCADi,0.96538,0.96748
1483394720,TICK,EURUSDi,1.04538,1.04635
1483394720,TICK,EURGBPi,0.85119,0.85171
1483394720,TICK,AUDUSDi,0.71847,0.71896
1483394720,TICK,EURJPYi,122.75400,122.92700
1483394720,TICK,AUDJPYi,84.41200,84.48700
1483394720,TICK,EURAUDi,1.45380,1.45758
1483394741,TICK,USDCADi,1.34434,1.34491
1483394587,TICK,USDJPYi,117.48800,117.53500
1483394720,TICK,GBPCADi,1.65015,1.65258
1483394720,TICK,AUDCADi,0.96583,0.96656
1483394720,TICK,GBPAUDi,1.70745,1.71037
1483394741,TICK,EURUSDi,1.04536,1.04633
1483394741,TICK,EURGBPi,0.85111,0.85172
1483394741,TICK,EURJPYi,122.74100,122.92000
1483394744,TICK,AUDJPYi,84.41000,84.47800
1483394741,TICK,USDJPYi,117.48500,117.52200
1483394754,TICK,EURUSDi,1.04536,1.04622
1483394751,TICK,EURJPYi,122.74100,122.94000
1483394751,TICK,AUDJPYi,84.40600,84.47800
1483394753,TICK,EURAUDi,1.45378,1.45755
1483394751,TICK,USDJPYi,117.46500,117.52100
1483394756,TICK,EURUSDi,1.04536,1.04623
1483394755,TICK,EURAUDi,1.45378,1.45722
1483394756,TICK,EURAUDi,1.45378,1.45723
1483394766,TICK,EURUSDi,1.04536,1.04635
1483394760,TICK,EURJPYi,122.74200,122.94000
1483394760,TICK,AUDJPYi,84.40800,84.47800
1483394767,TICK,EURUSDi,1.04534,1.04633
1483394766,TICK,EURGBPi,0.85114,0.85172
1483394767,TICK,AUDUSDi,0.71847,0.71897
1483394767,TICK,AUDJPYi,84.40800,84.47900
1483394766,TICK,AUDCADi,0.96583,0.96591
1483394771,TICK,EURUSDi,1.04536,1.04633
1483394767,TICK,EURAUDi,1.45378,1.45722
1483394767,TICK,USDCADi,1.34435,1.34492
1483394772,TICK,USDJPYi,117.49100,117.52100
1483394767,TICK,GBPAUDi,1.70747,1.71037
1483394776,TICK,EURUSDi,1.04536,1.04626
1483394776,TICK,EURGBPi,0.85125,0.85172
1483394776,TICK,EURJPYi,122.81900,122.94000
1483394773,TICK,EURAUDi,1.45373,1.45721
1483394773,TICK,GBPCADi,1.65016,1.65259
1483394776,TICK,AUDCADi,0.96583,0.96588
1483394785,TICK,EURUSDi,1.04536,1.04627
1483394783,TICK,EURAUDi,1.45373,1.45718
1483394782,TICK,USDJPYi,117.49900,117.52200
1483394783,TICK,GBPCADi,1.65017,1.65259
1483394786,TICK,EURUSDi,1.04536,1.04626
1483394795,TICK,EURUSDi,1.04536,1.04614
1483394795,TICK,EURJPYi,122.81400,122.93000
1483394794,TICK,AUDJPYi,84.40600,84.47500
1483394791,TICK,USDJPYi,117.48800,117.51200
1483394801,TICK,EURUSDi,1.04536,1.04608
1483394798,TICK,EURGBPi,0.85125,0.85173
1483394798,TICK,AUDUSDi,0.71867,0.71880
1483394797,TICK,EURJPYi,122.80300,122.92500
1483394800,TICK,AUDJPYi,84.41800,84.46300
1483394800,TICK,EURAUDi,1.45348,1.45714
1483394797,TICK,USDCADi,1.34454,1.34512
1483394797,TICK,USDJPYi,117.47800,117.50500
